fecha,valor
2024-02-28,888.7
2024-02-29,887.5
2024-03-01,885.88
2024-03-04,887.61
2024-03-05,892.34
2024-03-06,889.49
2024-03-07,891.28
2024-03-08,892.0
2024-03-11,894.34
2024-03-12,894.5
2024-03-13,894.95
2024-03-14,897.33
2024-03-15,895.15
2024-03-18,896.91
2024-03-19,898.48
2024-03-20,898.22
2024-03-21,897.86
2024-03-22,898.58
2024-03-25,900.42
2024-03-26,900.45
2024-03-27,901.63
2024-04-03,905.3
2024-04-04,899.79
2024-04-05,905.3
2024-04-08,908.79
2024-04-09,907.39
2024-04-10,907.61
2024-04-11,910.82
2024-04-12,913.27
2024-04-15,912.63
2024-04-16,912.61
2024-04-17,913.23
2024-04-18,910.3
2024-04-19,912.74
2024-04-22,915.8
2024-04-23,915.4
2024-04-24,915.35
2024-04-25,916.05
2024-04-26,918.36
2024-04-29,915.62
2024-04-30,920.57
2024-05-02,918.05
2024-05-03,921.34
2024-05-06,923.56
2024-05-07,922.38
2024-05-08,923.05
2024-05-09,924.06
2024-05-10,922.24
2024-05-13,922.93
2024-05-14,926.01
2024-05-15,928.68
2024-05-16,928.45
2024-05-17,927.58
2024-05-20,927.13
2024-05-21,927.39
2024-05-22,929.52
2024-05-23,929.26
2024-05-24,931.78
2024-05-27,933.75
2024-05-28,933.13
2024-05-29,933.36
2024-05-30,934.62
2024-05-31,933.76
2024-06-03,937.66
2024-06-04,935.68
2024-06-05,938.14
2024-06-06,936.71
2024-06-07,939.07
2024-06-10,940.56
2024-06-11,938.37
2024-06-12,936.54
2024-06-13,941.61
2024-06-14,941.93
2024-06-18,943.66
2024-06-19,944.93
2024-06-24,947.74
2024-06-25,948.55
2024-06-26,947.21
2024-06-27,948.68
2024-06-28,950.42
2024-07-01,953.75
2024-07-02,953.98
2024-07-03,954.1
2024-07-04,951.95
2024-07-05,956.02
2024-07-08,958.36
2024-07-10,957.91
2024-07-11,956.91
2024-07-12,959.99
2024-07-15,958.1
2024-07-16,960.89
2024-07-17,961.92
2024-07-18,962.11
2024-07-19,963.13
2024-07-22,966.23
2024-07-23,964.39
2024-07-24,967.66
2024-07-25,968.41
2024-07-26,969.05
2024-07-29,970.8
2024-07-30,971.07
2024-07-31,970.88
2024-08-01,971.5
2024-08-02,972.41
2024-08-05,976.91
2024-08-06,977.15
2024-08-07,977.44
2024-08-08,977.03
2024-08-09,980.75
2024-08-12,981.39
2024-08-13,981.39
2024-08-14,979.34
2024-08-15,980.77
2024-08-16,982.5
2024-08-19,983.01
2024-08-20,983.03
2024-08-21,983.64
2024-08-22,984.2
2024-08-23,986.05
2024-08-26,985.24
2024-08-27,988.1
2024-08-28,988.63
2024-08-29,988.06
2024-08-30,991.42
2024-09-02,990.79
2024-09-03,991.12
2024-09-04,990.97
2024-09-05,991.8
2024-09-06,990.31
2024-09-09,993.34
2024-09-10,994.24
2024-09-11,993.41
2024-09-12,994.61
2024-09-13,995.57
2024-09-16,995.73
2024-09-17,995.63
2024-09-18,994.74
2024-09-19,997.12
2024-09-20,1000.01
2024-09-23,1000.26
2024-09-24,1000.95
2024-09-25,1003.09
2024-09-26,1003.64
2024-09-27,1004.1
2024-09-30,1004.94
2024-10-01,1005.53
2024-10-02,1006.48
2024-10-03,1006.78
2024-10-04,1006.75
2024-10-07,1008.7
2024-10-08,1009.75
2024-10-09,1009.76
2024-10-10,1011.27
2024-10-14,1011.22
2024-10-15,1012.18
2024-10-16,1011.85
2024-10-17,1012.92
2024-10-18,1014.42
2024-10-21,1018.86
2024-10-22,1015.3
2024-10-23,1015.43
2024-10-24,1015.68
2024-10-25,1018.2
2024-10-28,1018.83
2024-10-29,1019.74
2024-10-30,1020.01
2024-10-31,1020.75
2024-11-01,1022.75
2024-11-04,1022.93
2024-11-05,1023.7
2024-11-07,1026.6
2024-11-08,1025.88
2024-11-11,1026.73
2024-11-12,1028.0
2024-11-13,1028.99
2024-11-14,1029.18
2024-11-15,1030.07
2024-11-19,1030.84
2024-11-20,1031.66
2024-11-21,1033.33
2024-11-22,1034.98
2024-11-25,1037.08
2024-11-26,1037.67
2024-11-27,1036.96
2024-11-28,1037.24
2024-11-29,1040.27
2024-12-02,1041.73
2024-12-03,1042.35
2024-12-04,1042.18
2024-12-05,1043.32
2024-12-06,1044.61
2024-12-09,1045.92
2024-12-10,1047.55
2024-12-11,1047.12
2024-12-12,1048.68
2024-12-13,1048.71
2024-12-16,1049.93
2024-12-17,1049.58
2024-12-18,1050.56
2024-12-19,1051.66
2024-12-20,1054.27
2024-12-23,1055.07
2024-12-26,1055.82
2024-12-27,1057.97
2024-12-30,1060.28
2025-01-02,1061.83
2025-01-03,1062.8
2025-01-06,1064.95
2025-01-07,1068.57
2025-01-08,1065.62
2025-01-09,1065.68
2025-01-10,1066.34
2025-01-13,1067.44
2025-01-14,1068.04
2025-01-15,1068.86
2025-01-16,1069.69
2025-01-17,1069.88
2025-01-20,1071.0
2025-01-21,1071.71
2025-01-22,1072.14
2025-01-23,1074.87
2025-01-24,1075.78
2025-01-27,1076.41
2025-01-28,1077.91
2025-01-29,1078.21
2025-01-30,1078.38
2025-01-31,1079.63
2025-02-03,1080.65
2025-02-04,1082.36
2025-02-05,1084.27
2025-02-06,1084.69
2025-02-07,1085.27
2025-02-10,1086.08
2025-02-11,1086.08
2025-02-12,1086.4
2025-02-13,1086.55
2025-02-14,1087.85
2025-02-17,1088.19
2025-02-18,1088.4
2025-02-19,1087.19
2025-02-20,1088.45
2025-02-21,1089.07
2025-02-24,1089.28
2025-02-25,1089.89
2025-02-26,1090.03
2025-02-27,1091.89
2025-02-28,1093.18
2025-03-05,1093.8
2025-03-06,1091.44
2025-03-07,1095.52
2025-03-10,1096.33
2025-03-11,1096.43
2025-03-12,1098.18
2025-03-13,1097.8
2025-03-14,1098.57
2025-03-17,1098.97
2025-03-18,1099.34
2025-03-19,1099.52
2025-03-20,1099.04
2025-03-21,1099.78
2025-03-25,1101.19
2025-03-26,1101.97
2025-03-27,1102.76
2025-03-28,1103.52
2025-03-31,1103.73
2025-04-01,1104.01
2025-04-03,1104.6
2025-04-04,1103.13
2025-04-07,1105.83
2025-04-08,1106.36
2025-04-09,1105.57
2025-04-10,1106.43
2025-04-11,1107.96
2025-04-14,1233.36
2025-04-15,1233.99
2025-04-16,1179.47
2025-04-21,1114.83
2025-04-22,1125.54
2025-04-23,1174.51
2025-04-24,1196.88
2025-04-25,1193.62
2025-04-28,1192.84
2025-04-29,1194.45
2025-04-30,1193.88
2025-05-05,1216.47
2025-05-06,1220.45
2025-05-07,1152.76
2025-05-08,1138.07
2025-05-09,1166.96
2025-05-12,1155.43
2025-05-13,1150.3
2025-05-14,1153.47
2025-05-15,1155.2
2025-05-16,1167.84
2025-05-19,1157.77
2025-05-20,1162.22
2025-05-21,1166.64
2025-05-22,1161.91
2025-05-23,1157.43
2025-05-26,1163.94
2025-05-27,1174.39
2025-05-28,1180.0
2025-05-29,1199.79
2025-05-30,1209.35
2025-06-02,1199.85
2025-06-03,1203.75
2025-06-04,1199.07
2025-06-05,1206.55
2025-06-06,1205.86
2025-06-09,1201.33
2025-06-10,1202.12
2025-06-11,1200.23
2025-06-12,1202.73
2025-06-13,1201.12
2025-06-17,1189.61
2025-06-18,1160.98
2025-06-19,1180.19
2025-06-23,1188.8
2025-06-24,1192.91
2025-06-25,1203.44
2025-06-26,1209.78
2025-06-27,1204.62
2025-06-30,1217.87
2025-07-01,1237.18
2025-07-02,1248.43
2025-07-03,1245.85
2025-07-04,1260.36
2025-07-07,1282.47
2025-07-08,1276.79
2025-07-10,1279.22
2025-07-11,1280.85
2025-07-14,1291.23
2025-07-15,1288.17
2025-07-16,1278.62
2025-07-17,1289.98
2025-07-18,1307.33
2025-07-21,1298.51
2025-07-22,1278.32
2025-07-23,1277.43
2025-07-24,1284.92
2025-07-25,1300.14
2025-07-28,1305.11
2025-07-29,1305.05
2025-07-30,1325.63
2025-07-31,1385.56
2025-08-01,1375.79
2025-08-04,1372.68
2025-08-05,1355.58
2025-08-06,1346.52
2025-08-07,1339.62
2025-08-08,1337.04
2025-08-11,1339.16
2025-08-12,1330.76
2025-08-13,1328.23
2025-08-14,1311.41
2025-08-18,1314.24
2025-08-19,1312.95
2025-08-20,1317.84
2025-08-21,1329.78
2025-08-22,1337.23
2025-08-25,1367.98
2025-08-26,1377.12
2025-08-27,1370.79
2025-08-28,1349.44
2025-08-29,1361.42
2025-09-01,1391.88
2025-09-02,1378.91
2025-09-03,1377.09
2025-09-04,1382.69
2025-09-05,1386.8
2025-09-08,1435.17
2025-09-09,1432.85
2025-09-10,1433.79
2025-09-11,1445.43
2025-09-12,1467.42
2025-09-15,1479.81
2025-09-16,1482.02
2025-09-17,1489.99
2025-09-18,1509.37
2025-09-19,1523.75
2025-09-22,1438.3
2025-09-23,1391.95
2025-09-24,1367.95
2025-09-25,1354.03
2025-09-26,1364.73
2025-09-29,1378.76
2025-09-30,1406.79
2025-10-01,1456.89
2025-10-02,1454.16
2025-10-03,1454.86
2025-10-06,1460.2
2025-10-07,1460.63
2025-10-08,1462.7
2025-10-09,1459.28
2025-10-13,1378.58
2025-10-14,1392.41
2025-10-15,1408.02
2025-10-16,1441.96
2025-10-17,1491.61
2025-10-20,1495.61
2025-10-21,1518.74
2025-10-22,1520.9
2025-10-23,1518.07
2025-10-24,1517.53
2025-10-27,1451.78
2025-10-28,1487.76
2025-10-29,1464.4
2025-10-30,1464.99
2025-10-31,1475.11
2025-11-03,1494.62
2025-11-04,1488.75
2025-11-05,1476.48
2025-11-07,1454.66
2025-11-10,1450.65
2025-11-11,1444.83
2025-11-12,1433.92
2025-11-13,1433.55
2025-11-14,1432.06
2025-11-17,1422.09
2025-11-18,1422.1
2025-11-19,1429.09
2025-11-20,1450.06
2025-11-25,1471.87
2025-11-26,1475.83
2025-11-27,1474.55
2025-11-28,1487.59
2025-12-01,1475.07
2025-12-02,1476.76
2025-12-03,1475.49
2025-12-04,1469.78
2025-12-05,1462.75
2025-12-09,1463.14
2025-12-10,1458.59
2025-12-11,1460.45
2025-12-12,1464.55
2025-12-15,1465.14
2025-12-16,1482.44
2025-12-17,1474.51
2025-12-18,1474.62
2025-12-19,1474.1
2025-12-22,1475.55
2025-12-23,1475.41
2025-12-26,1475.45
2025-12-29,1477.22
2025-12-30,1479.28
2026-01-02,1491.24
2026-01-05,1492.46
2026-01-06,1488.32
2026-01-07,1485.21
2026-01-08,1482.66
2026-01-09,1483.19
2026-01-12,1482.33
2026-01-13,1482.52
2026-01-14,1475.0
2026-01-15,1466.87
2026-01-16,1453.45
2026-01-19,1454.65
2026-01-20,1454.04
2026-01-21,1452.73
2026-01-22,1452.09
2026-01-23,1454.56
2026-01-26,1459.88
2026-01-27,1463.48
2026-01-28,1463.92
2026-01-29,1465.08
2026-01-30,1465.01
2026-02-02,1471.3
2026-02-03,1465.67
2026-02-04,1465.92
2026-02-05,1467.01
2026-02-06,1453.25
2026-02-09,1445.77
2026-02-10,1428.11
2026-02-11,1427.34
2026-02-12,1420.27
2026-02-13,1420.64
2026-02-18,1424.61
2026-02-19,1419.32
2026-02-20,1399.15
2026-02-23,1392.75
2026-02-24,1400.12
2026-02-25,1416.53
2026-02-26,1429.59
